id,restaurant_name,rating,number_of_ratings,full_address,url
1008,Aqua Eden,0,1,"Praha, Vladivostocká 1460/10, 10000",https://www.restu.cz/aqua-eden/
1009,Arcimboldo,0,1,"Praha, Nerudova 250/13, 11800",https://www.restu.cz/arcimboldo/
1010,Arter,0,3,"Praha, Za černým mostem 1526/17, 19800",https://www.restu.cz/arter-restaurant/
1011,Aston Café Restaurant,0,1,"Praha, Preslova 1286/13, 15000",https://www.restu.cz/aston-cafe-restaurant/
1012,Autoklub,0,1,"Praha, Opletalova 1337/29, 11000",https://www.restu.cz/autoklub-restaurant/
1013,Balounova restaurace U Břízy,3.7,20,"Praha, Roztylské nám. 2960, 14100",https://www.restu.cz/balounova-restaurace-u-brizy/
1014,Bar Atlas,0,1,"Praha, Zbraslavské náměstí 454, 15600",https://www.restu.cz/bar-atlas/
1015,Chameleon,0,3,"Praha, Michelská 800/47, 14100",https://www.restu.cz/bar-chameleon/
1016,Barracuda Café,0,1,"Praha, Krymská 126/2, 10100",https://www.restu.cz/barracuda-cafe/
1017,Bed Lounge,3.9,11,"Praha, Dlouhá 609/2, 11000",https://www.restu.cz/bed-lounge-coctail-bar-cafe/
1018,Besední restaurace,3.4,6,"Praha, Slivenecká 92/7, 15200",https://www.restu.cz/besedni-restaurace/
1019,Best Bowling,0,1,"Praha, Řevnická 121/1, 15521",https://www.restu.cz/best-bowling-s-r-o/
1020,Bílá Vrána,4.2,18,"Praha, Jagellonská 2150/10, 13000",https://www.restu.cz/bila-vrana/
1021,Na Břežance,0,4,"Praha, Lublaňská 185/49, 12000",https://www.restu.cz/na-brezance/
1022,Branický sklípek U Purkmistra,0,1,"Praha, Vodičkova 696/26, 11000",https://www.restu.cz/branicky-sklipek-u-purkmistra/
1023,"BROOK &amp; FANTASY, s.r.o.",0,1,"Praha, Hábova 1517/5, 15500",https://www.restu.cz/brook-fantasy-s-r-o/
1024,Bull Dog's Dart's Pub,0,1,"Praha, Ohradní 1443/24b, 14000",https://www.restu.cz/bull-dog-s-dart-s-pub/
1025,Restaurant Café Bar U Zastávky,0,1,"Praha, Poděbradská 531/50, 19000",https://www.restu.cz/cafe-bar-u-zastavky/
1026,Bistro Cafe Calma,3.9,12,"Praha, Kyjevská 527/2, 16000",https://www.restu.cz/cafe-calma/
1027,Café Colombia,0,1,"Praha, Vršovická 813/58, 10100",https://www.restu.cz/cafe-colombia/
1028,Café Ledebour,0,1,"Praha, Valdštejnské náměstí 162/3, 11800",https://www.restu.cz/cafe-ledebour/
1029,Cafe restaurant Sconto,0,1,"Praha, Chlumecká 2420, 19800",https://www.restu.cz/cafe-restaurant-sconto/
1030,Caffe Bar Metro,0,1,"Praha, Heydukova 897/13, 18000",https://www.restu.cz/caffe-bar-metro/
1031,Camp bar,0,1,"Praha, Obslužná 43/33, 18400",https://www.restu.cz/camp-bar/
1032,Singidunum,4.5,147,"Praha, Bělehradská 92, 12000",https://www.restu.cz/singidunum/
1033,Cathering Blue and Green,0,1,"Praha, Přátelství 986/19, 10400",https://www.restu.cz/cathering-blue-and-green/
1034,Club Restaurant,0,1,"Praha, Za Císařským mlýnem 2, 17000",https://www.restu.cz/club-restaurant/
1035,CLUB Restaurant PEUGEOT,0,1,"Praha, Hvozdíková 1306/21, 10600",https://www.restu.cz/club-restaurant-peugeot/
1036,Fresh Cantina Cordeus,0,1,"Praha, Na dlouhém lánu 563/11, 16000",https://www.restu.cz/cordeus-restaurant/
1037,"Červené jablko, s.r.o.",3.5,8,"Praha, Moskevská 529/64, 10100",https://www.restu.cz/cervene-jablko-s-r-o/
1038,Česká Krčma,0,1,"Praha, Přípotoční 917/35, 10100",https://www.restu.cz/ceska-krcma/
1039,Restaurant O'Brien,0,4,"Praha, Janovského 919/36, 17000",https://www.restu.cz/irish-pub-obrien/
1040,Čimická kozlovna,0,1,"Praha, K Ládví 392/6, 18100",https://www.restu.cz/cimicka-kozlovna/
1041,"DA MU ZHI, s.r.o.",0,3,"Praha, Pod Harfou 943/36, 19000",https://www.restu.cz/da-mu-zhi-s-r-o/
1042,U Majerů,0,2,"Praha, U jinonického rybníčka 602/3A, 15800",https://www.restu.cz/u-majeru/
1043,Delight,0,1,"Praha, Stroupežnického 3181/21, 15000",https://www.restu.cz/delight-restaurant/
1044,Divadelním klub Radka Brzobohatého,0,1,"Praha, Opletalova 919/5, 11000",https://www.restu.cz/divadelnim-klub-radka-brzobohateho/
1045,Domažlická jizba,0,5,"Praha, Strossmayerovo nám. 977/2, 17000",https://www.restu.cz/domazlicka-jizba/
1046,Michelský dvůr,0,3,"Praha, Michelská 1/7, 14000",https://www.restu.cz/restaurace-michelsky-dvur/
1047,El Mágico - music bar,0,2,"Praha, Chemická 953, 14800",https://www.restu.cz/el-magico/
1048,Coffee Restaurant - Espresso Kajetánka,0,1,"Praha, Hradčanské náměstí 186/1, 11800",https://www.restu.cz/espresso-kajetanka/
1049,Eureka,0,2,"Praha, Roztylské nám. 619/14, 14100",https://www.restu.cz/eureka-restaurace-s-r-o/
1050,Expo club restaurant,0,1,"Praha, Výstaviště 416, 17000",https://www.restu.cz/expo-club-restaurant/
1051,FastGood - Buffet restaurant,0,1,"Praha, Prosecká 852/66, 19000",https://www.restu.cz/fastgood-buffet-restaurant/
1052,Ferdinanda (Novoměstská),0,5,"Praha, Opletalova 1597/24, 11000",https://www.restu.cz/ferdinanda-novomestska/
1053,"FICOM služby, s.r.o.",0,1,"Praha, Záběhlická 3156/65, 10600",https://www.restu.cz/ficom-sluzby-s-r-o/
1054,Restaurace & Bar Forest Golf,0,1,"Praha, Axmanova 260, 19014",https://www.restu.cz/restaurace-bar-forest-golf/
1055,Formanka a restaurace Lusi,0,1,"Praha, Bobkova 794/8, 19800",https://www.restu.cz/formanka-a-restaurace-lusi/
1056,Formanská hospůdka,0,1,"Praha, Karlovarská 459/59, 16300",https://www.restu.cz/formanska-hospudka/
1057,La Corte & Dvůr Restaurant,3.8,12,"Praha, Na Poříčí 1053/44, 11000",https://www.restu.cz/la-corte-dvur-restaurant/
1058,Single´s showbar,0,1,"Praha, Veletržní 924/14, 17000",https://www.restu.cz/single-s-showbar/
1059,Gastro 2010 CZ,0,1,"Praha, Jabloňová 2992/8, 10600",https://www.restu.cz/gastro-2010-cz/
1060,Gate Restaurant,4.2,134,"Praha, Sokolovská 539/31, 18600",https://www.restu.cz/gate-restaurant/
1061,Restaurace Gól klub,0,1,"Praha, Na Třebešíně 2417/56, 10000",https://www.restu.cz/gol-klub-s-r-o/
1062,Gourmet Restaurant,0,1,"Praha, Tomanova 1028/1, 16900",https://www.restu.cz/gourmet-restaurant/
1063,Haškova restaurace U Brejšků,4.5,14,"Praha, Spálená 107/49, 11000",https://www.restu.cz/haskova-restaurace-u-brejsku/
1064,Hostinec Hloupý Honza,4.1,140,"Praha, Školská 1736/12, 11000",https://www.restu.cz/hostinec-hloupy-honza/
1065,Hospoda U Rotundy,0,1,"Praha, Karoliny Světlé 1035/17, 11000",https://www.restu.cz/hospoda-u-rotundy/
1066,Hospoda Lucerna,4.0,46,"Praha, Vodičkova 704/36, 11000",https://www.restu.cz/hospoda-lucerna/
1067,Hospůdka Na Radnici,4.1,19,"Praha, Sokolovská 14/324, 19000",https://www.restu.cz/hospudka-na-radnici/
1068,Charlies Steak restaurant,0,1,"Praha, Mařákova 290/7, 16000",https://www.restu.cz/charlies-steak-restaurant/
1069,Ivan Dytrych,0,1,"Praha, Ústřední 27/20, 10200",https://www.restu.cz/ivan-dytrych/
1070,Jana Čapková - Restaurace U Dubu,0,1,"Praha, Netlucká 13/6, 10700",https://www.restu.cz/jana-capkova-restaurace-u-dubu/
1071,Restaurace Hotelu Radegast,0,1,"Praha, Radčina 568/11, 16100",https://www.restu.cz/restaurace-hotelu-radegast/
1072,José Mané,0,1,"Praha, Vaníčkova 1911/5, 16900",https://www.restu.cz/jose-mane/
1073,Kamil Dvořák,0,1,"Praha, Novákových 856/23, 18000",https://www.restu.cz/kamil-dvorak/
1074,Keramická restaurace,0,1,"Praha, Keramická 3, 17000",https://www.restu.cz/keramicka-restaurace/
1075,Kika Restaurant Letňany,0,1,"Praha, Veselská 709, 19900",https://www.restu.cz/kika-restaurant-letnany/
1076,Klub Blanice,0,4,"Praha, Chemická 955/3, 14800",https://www.restu.cz/klub-blanice/
1077,Kočár z Vídně,4.4,19,"Praha, Saská 520/3, 11800",https://www.restu.cz/kocar-z-vidne/
1078,KUTA centrum,0,3,"Praha, Zelený pruh 95/97, 14000",https://www.restu.cz/kuta-centrum/
1079,La Casa Argentina,4.4,63,"Praha, Dlouhá 730/35, 11000",https://www.restu.cz/la-casa-argentina-dlouha/
1080,Restaurant Pražan,0,1,"Praha, Areál Výstaviště 67, 17000",https://www.restu.cz/letni-zahradka-prazan/
1081,Libocká studna,0,3,"Praha, Libocká 276/9, 16200",https://www.restu.cz/libocka-studna/
1082,Lokal Blok,4.0,176,"Praha, nám. 14. října 2173/10, 15000",https://www.restu.cz/lokal-blok-s-r-o/
1083,Mad Bar,0,4,"Praha, Plaská 623/5, 15000",https://www.restu.cz/mad-bar/
1084,Mahonika,0,1,"Praha, Na hrázi 169/15, 18000",https://www.restu.cz/mahonika/
1085,Malostranská Beseda,4.5,77,"Praha, Malostranské náměstí 35/21, 11800",https://www.restu.cz/malostranska-beseda/
1086,Marie Jarkovská - Restaurace JaS,0,1,"Praha, Sídlištní 1167/1, 16500",https://www.restu.cz/marie-jarkovska-restaurace-jas/
1087,Mat club,0,3,"Praha, Karlovo náměstí 285/19, 12000",https://www.restu.cz/mat-club/
1088,Maximum restaurant,0,1,"Praha, Slaviborské náměstí 20/1, 19600",https://www.restu.cz/maximum-restaurant/
1089,Coolna metropolitan bar-restaurant,3.5,20,"Praha, Budějovická 1126/9, 14000",https://www.restu.cz/coolna-metropolitan-bar-restaurant/
1090,Mezzo restaurant,0,1,"Praha, Milevská 1695/7, 14000",https://www.restu.cz/mezzo-restaurant/
1091,Restaurace Rychety,0,1,"Praha, K dálnici 1138/57a, 10400",https://www.restu.cz/restaurace-rychety/
1092,Nové Molo 22,3.8,20,"Praha, U Průhonu 22, 17000",https://www.restu.cz/nove-molo-22/
1093,Motorclub U Oťase,0,1,"Praha, Norská 603/16, 10100",https://www.restu.cz/motorclub-u-otase/
1094,Mynos,0,4,"Praha, Bešťákova 568/3a, 18200",https://www.restu.cz/mynos-restaurace/
1095,Na Baště,0,1,"Praha, Letenské sady 1574, 17000",https://www.restu.cz/na-baste-1/
1096,Na Dělostřílnách,0,1,"Praha, Na dělostřílnách 1050/3, 16200",https://www.restu.cz/na-delostrilnach/
1097,Nádražní restaurace Braník,0,1,"Praha, Pikovická 869/2, 14700",https://www.restu.cz/nadrazni-restaurace-branik/
1098,Na Hanspaulce,0,3,"Praha, Na pískách 1815/29a, 16000",https://www.restu.cz/na-hanspaulce/
1099,Club restaurant Na Hromádkové,3.0,8,"Praha, Kmochova 825/1, 15000",https://www.restu.cz/na-hromadkove/
1100,Na Klikovce,0,1,"Praha, Na Klikovce 1008/9, 14000",https://www.restu.cz/na-klikovce/
1101,Na Ledárnách,0,4,"Praha, Točitá 274/46, 14000",https://www.restu.cz/na-ledarnach/
1102,Na Marjánce,4.4,48,"Praha, Bělohorská 262/35, 16900",https://www.restu.cz/na-marjance/
1103,Na Mělníku,0,3,"Praha, Františka Křížka 28, 17000",https://www.restu.cz/na-melniku/
1104,Na Pasece,3.8,60,"Praha, Rumunská 24/32, 12000",https://www.restu.cz/na-pasece/
1105,Restaurace Na Pěšinách,0,5,"Praha, Na pěšinách 8/38, 18200",https://www.restu.cz/restaurace-na-pesinach/
1106,Na Staré cihelně,0,1,"Praha, Chaberská 528/18, 18200",https://www.restu.cz/na-stare-cihelne/
1107,Na Závěrce,3.6,10,"Praha, Za Strahovem 276/12, 16900",https://www.restu.cz/na-zaverce/
1108,Neklid Restaurant,0,4,"Praha, Ruská 568/34, 10100",https://www.restu.cz/neklid-restaurant/
1109,"NIL MAXI, s.r.o.",0,1,"Praha, Bubenská 248/29, 17000",https://www.restu.cz/nil-maxi-s-r-o/
1110,Kulaťák,4.2,194,"Praha, Vítězné náměstí 820/12, 16000",https://www.restu.cz/original-restaurant-kulatak/
1111,Orlík - restaurant,0,4,"Praha, Masarykovo nábř. 2018/10, 12000",https://www.restu.cz/orlik-restaurant/
1112,Park Restaurant & Cafe,0,1,"Praha, Vršovická 1525/1a, 10100",https://www.restu.cz/park-restaurant-cafe/
1113,Patium Zbraslav,4.1,10,"Praha, Žitavského 496, 15600",https://www.restu.cz/patium-zbraslav/
1114,Kavárna Pink Floyd Caffé,0,1,"Praha, Americká 669/16, 12000",https://www.restu.cz/pink-floyd-caffe/
1115,Pivovar a restaurace Pivovarský Klub,4.5,106,"Praha, Křižíkova 272/17, 18600",https://www.restu.cz/pivovar-a-restaurace-pivovarsky-klub/
1116,Pivovar u Bulovky,3.9,13,"Praha, Bulovka 373/17, 18000",https://www.restu.cz/pivovar-u-bulovky/
1117,Pizza Papa Cipolla - Háje,0,3,"Praha, Mendelova 554/11, 14900",https://www.restu.cz/pizza-papa-cipolla-praha-4/
1118,Pizzeria Ristorante IL TESORO,0,1,"Praha, Freyova 945/35, 19000",https://www.restu.cz/pizzeria-ristorante-il-tesoro/
1119,Gattino,0,1,"Praha, Rilská 3173/1, 14300",https://www.restu.cz/pizzerie-gattino/
1120,U Švehly,4.3,19,"Praha, Švehlova 3125/10, 10600",https://www.restu.cz/u-svehly/
1121,U Čiriny,4.3,20,"Praha, Navrátilova 1632/6, 11000",https://www.restu.cz/restaurace-u-ciriny/
1122,Potrefená Husa Platnéřská,4.1,66,"Praha, Platnéřská 88/9, 11000",https://www.restu.cz/potrefena-husa-praha-platnerska/
1123,LE KLUB,0,1,"Praha, Bubenská 106/55, 17000",https://www.restu.cz/le-klub/
1124,Free Solo,4.0,6,"Praha, Donovalská 1662/38, 14900",https://www.restu.cz/restaurace-a-bar-free-solo/
1125,Restaurace a bar U DAŠŮ,0,1,"Praha, Slavětínská 84, 19014",https://www.restu.cz/restaurace-a-bar-u-dasu/
1126,Restaurace ABC,0,2,"Praha, Za mlýnem 1774/12, 14700",https://www.restu.cz/restaurace-abc-2/
1127,Restaurace Agricola,0,1,"Praha, Rostovská 79/25, 10100",https://www.restu.cz/restaurace-agricola/
1128,Akropolis,4.3,18,"Praha, Kubelíkova 1548/27, 13000",https://www.restu.cz/restaurace-akropolis-1/
1129,Restaurace Kozlova Almara,4.2,27,"Praha, Klapkova 314/80, 18200",https://www.restu.cz/restaurace-kozlova-almara/
1130,Restaurace Amboseli,4.4,20,"Praha, Vítkova 151/26, 18600",https://www.restu.cz/restaurace-amboseli/
1131,Restaurace Ambrózie,0,1,"Praha, Moskevská 415/1, 10100",https://www.restu.cz/restaurace-ambrozie/
1132,Restaurace Archa,0,1,"Praha, Za Poříčskou bránou 214/12, 18600",https://www.restu.cz/restaurace-archa-2/
1133,Za pět 12,0,2,"Praha, Nad lávkou 672/5, 16000",https://www.restu.cz/za-pet-12/
1134,Restaurace Atlanta,0,1,"Praha, Konzumní 252/12, 19800",https://www.restu.cz/restaurace-atlanta-2/
1135,Restaurace a vinárna Stará dobrá,0,1,"Praha, Na kovárně 472/8, 10100",https://www.restu.cz/restaurace-a-vinarna-stara-dobra/
1136,Restaurace Avion,0,1,"Praha, Aviatická 1048/12, 16100",https://www.restu.cz/restaurace-avion-2/
1137,Restaurace Baba Jaga,3.7,19,"Praha, Slezská 949/32, 12000",https://www.restu.cz/restaurace-baba-jaga/
1138,Restaurant & Bar Hotelu Haštal,0,1,"Praha, Haštalská 1077/16, 11000",https://www.restu.cz/restaurant-bar-hotelu-hastal/
1139,Restaurace - Bar Samos,0,1,"Praha, Krovova 459, 19014",https://www.restu.cz/restaurace-bar-samos/
1140,Restaurant Bella,0,5,"Praha, Rumburská 572/23, 19000",https://www.restu.cz/restaurace-bella/
1141,Restaurace Berounka,0,1,"Praha, Sídliště 1078/18, 15300",https://www.restu.cz/restaurace-berounka/
1142,Restaurace Bobr,0,1,"Praha, Vladivostocká 1460/2, 10000",https://www.restu.cz/restaurace-bobr-1/
1143,Restaurace Bohemia Garden,0,1,"Praha, Ruská 946/88, 10100",https://www.restu.cz/restaurace-bohemia-garden/
1144,Bredovský dvůr,4.4,75,"Praha, Politických vězňů 935/13, 11000",https://www.restu.cz/restaurace-bredovsky-dvur/
1145,Bukefal,0,1,"Praha, Anglická 81/24, 12000",https://www.restu.cz/restaurace-bukefal/
1146,hotelu Start,0,1,"Praha, Branická 1861/146, 14700",https://www.restu.cz/restaurace-hotelu-start/
1147,Cinda,0,1,"Praha, Císařská louka, 15000",https://www.restu.cz/restaurace-cinda/
1148,Restaurace Club 88,0,1,"Praha, Milínská 88, 10600",https://www.restu.cz/restaurace-club-88/
